,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
107064,HCM,20230428,16.9161,17.0525,16.7115,17.019,3117400
107506,HCM,20230427,16.9502,17.1207,16.7115,16.7121,2343100
107943,HCM,20230426,16.6773,16.9843,16.4386,16.9849,4907000
108370,HCM,20230425,17.4277,17.4277,16.5409,16.7803,6943600
108806,HCM,20230424,17.3936,17.7005,17.2571,17.2919,2688700
109241,HCM,20230421,17.3936,17.9051,17.2571,17.4624,5438000
109672,HCM,20230420,17.4618,17.5641,17.2571,17.2919,3359100
110102,HCM,20230419,17.9051,18.0415,17.4618,17.4624,5980100
110541,HCM,20230418,17.53,18.0415,17.3936,17.974,7318800
110979,HCM,20230417,17.3594,17.4618,17.1548,17.4283,2820800
111417,HCM,20230414,17.6664,17.7687,17.223,17.2237,5380800
111864,HCM,20230413,17.2912,17.7346,17.1889,17.5306,7000400
112304,HCM,20230412,17.7005,17.7005,17.223,17.2578,5448300
112751,HCM,20230411,17.4618,17.7346,17.1548,17.6671,6595900
113187,HCM,20230410,18.1439,18.2121,17.4618,17.4624,7635400
113630,HCM,20230407,17.6323,17.9733,17.4618,17.8717,7639200
114069,HCM,20230406,18.2121,18.3826,17.53,17.5647,10033400
114518,HCM,20230405,18.0757,18.2462,17.8028,18.2469,6865000
114964,HCM,20230404,17.7346,18.4167,17.5982,18.2128,12037800
115410,HCM,20230403,17.8369,17.9051,17.7005,17.8035,9073800
115857,HCM,20230331,16.9161,17.6664,16.575,17.3942,10985900
116308,HCM,20230330,17.3253,17.3253,16.8138,16.8485,5244300
116755,HCM,20230329,16.7115,16.9502,16.6091,16.9508,4365400
117203,HCM,20230328,17.0866,17.1548,16.6432,16.6439,4507700
117654,HCM,20230327,16.7797,17.2571,16.6432,16.9508,6423400
118113,HCM,20230324,16.882,16.9843,16.6773,16.7121,5538300
118574,HCM,20230323,16.0976,16.7115,16.0976,16.7121,5712300
119031,HCM,20230322,16.4386,16.6091,16.234,16.2687,3504900
119492,HCM,20230321,15.9952,16.3363,15.8247,16.3028,3060100
119959,HCM,20230320,16.1999,16.2681,15.8247,15.8253,4272800
120408,HCM,20230317,16.575,16.6432,16.0976,16.2005,3735400
120863,HCM,20230316,16.575,16.7797,16.2681,16.3369,5756700
121322,HCM,20230315,16.1999,16.7115,16.0976,16.7121,6390600
121781,HCM,20230314,16.3363,16.3363,15.586,15.6207,7005400
122230,HCM,20230313,16.3704,16.6773,16.1317,16.371,4708200
122689,HCM,20230310,16.6091,16.7456,16.3704,16.5757,6267200
123132,HCM,20230309,16.9502,17.1207,16.7115,16.7803,7403000
123591,HCM,20230308,16.3022,16.9502,16.1658,16.9508,6149000
124045,HCM,20230307,16.0294,16.575,15.9952,16.4392,4905400
124506,HCM,20230306,15.9952,16.2681,15.6883,15.8253,3440000
124960,HCM,20230303,16.1658,16.2681,15.6201,15.6207,3805300
125415,HCM,20230302,16.5068,16.5068,15.9611,16.03,2782700
125865,HCM,20230301,15.4837,16.3704,15.3473,16.371,4752000
126326,HCM,20230228,15.7565,15.9611,15.4496,15.4843,2870000
126794,HCM,20230227,16.0294,16.0976,15.3814,15.5184,7901200
127266,HCM,20230224,17.0866,17.1548,16.3022,16.371,4123600
127729,HCM,20230223,16.7115,17.0866,16.0635,17.0873,8686800
128198,HCM,20230222,17.5982,17.8028,16.5068,16.5074,11825400
128675,HCM,20230221,17.6664,18.0074,17.5982,17.7353,9404700
129154,HCM,20230220,16.575,17.6323,16.575,17.633,12400700
129625,HCM,20230217,16.6091,16.6432,16.3022,16.5074,2775700
130099,HCM,20230216,16.0976,16.6091,16.0635,16.6098,4036200
130559,HCM,20230215,15.4496,16.0635,15.3814,15.9276,3108500
131029,HCM,20230214,15.6201,15.7224,15.3814,15.5525,1664500
131501,HCM,20230213,15.9611,16.1658,15.0744,15.4843,4687000
131977,HCM,20230210,16.234,16.6091,16.0294,16.1664,3200600
132445,HCM,20230209,16.4727,16.7115,16.3704,16.4051,3204800
132906,HCM,20230208,16.1658,16.6432,15.586,16.4733,3467700
133375,HCM,20230207,16.3704,16.6432,15.8929,15.8935,4615000
133844,HCM,20230206,16.0976,16.3022,15.8929,16.2346,2677100
134307,HCM,20230203,16.0976,16.3704,15.8247,16.0982,2419700
134772,HCM,20230202,16.0976,16.3704,15.7565,16.03,5322700
135240,HCM,20230201,17.1548,17.2571,15.9952,15.9959,7468300
135715,HCM,20230131,16.5068,17.1889,16.234,17.1896,6471200
136182,HCM,20230130,16.575,16.9843,16.3704,16.5757,5850700
136653,HCM,20230127,16.882,16.882,16.5068,16.5757,4711900
137123,HCM,20230119,16.0635,16.575,16.0635,16.5757,4787000
137592,HCM,20230118,16.3022,16.5068,15.9952,16.2687,5125200
138050,HCM,20230117,15.9952,16.3022,15.8247,16.3028,5001100
138501,HCM,20230116,15.3859,15.7864,15.219,15.6551,4058100
138949,HCM,20230113,15.3859,15.753,15.1856,15.2546,5839700
139390,HCM,20230112,15.219,15.4193,15.0855,15.2546,3104400
139848,HCM,20230111,15.1523,15.6529,15.0521,15.3213,4999100
140306,HCM,20230110,14.9186,15.1189,14.3846,14.9875,3982800
140753,HCM,20230109,15.0188,15.2524,14.8185,14.8874,3151200
141207,HCM,20230106,14.8519,15.4193,14.8185,14.8206,5319500
141652,HCM,20230105,14.4848,14.9854,14.4514,14.8874,4157200
142112,HCM,20230104,14.5515,14.7851,14.4514,14.5202,5139500
142567,HCM,20230103,13.5503,14.2845,13.5169,14.2866,3235400
143022,HCM,20221230,13.8173,13.9508,13.35,13.3519,3212900
143503,HCM,20221229,14.0843,14.2511,13.617,13.619,3633200
143976,HCM,20221228,14.3513,14.5181,13.9508,14.2532,3688700
144451,HCM,20221227,13.2165,14.0843,13.1498,14.0863,5251300
